review,sentiment
"Watching The Tenants has been a interesting experience for me. It is the first film I have ever seen where I have shuttled at speed through parts of the (non)action - and I can normally watch anything from turgid action movies to Serbo-Croat indie and find them fascinating.<br /><br />The Tenants is frustratingly sluggish and over-orchestrated. One of the main problems of the script is there is little realistic character dialogue, apart from the set pieces where characters 'collide' in a very structured setting (to make this work, the film needed to feel more conceptual, which it didn't). This leads to a lack of realistic character development; everyone seems two-dimensional.<br /><br />The worse for this is the character of Bill Spear, aka Snoop Dogg. I found his characterization very uncomfortable and very unsympathetic. At one point, I even stopped the film because I got so annoyed by the character's aggressive, violent and monotonal delivery, the lack of any other personality layer apart from that of the reactionary ""on"" switch (which gets really predictable after a while) and I so desperately wanted him to have some redeeming qualities. However, one reason for this jar might be the nebulous time scape of the film (supposedly 70s, it feels and looks more early noughties). If it had been more securely fixed in the 70s, his character might have seemed more understandable.<br /><br />The lighting of the film was also awkward. All the way through, the soundtrack attempts to provide a certain gritty, jazz-infused atmosphere that just did not come off, largely because the set was too well-lit.<br /><br />The Tenants, to me, is an unbelievable film. It doesn't depict real people or propose any interesting ways of thinking about race, identity or the life of a writer, be they white or black.<br /><br />Strangely, I came away with the feeling that this project needed David Lynch; his eerie, clastrophobic and obsessive look and feel would have lifted both the actors and the script into something quite remarkable.",negative
"If I had never seen the first Road House, then I guess this movie might get one more star, but even then that makes it a 3 star movie. For that matter I was really surprised as to the relatively high rating it currently has.<br /><br />In reality, I was not able to finish this movie, as it was painful. Where it went wrong (at least the most obvious way) is that it pretty much parallels the original exactly even though the original plot is still referenced. This doesn't really make sense and doesn't work. Also, the acting is weak...I never felt like I was into the movie yet I felt like I was watching people act. Even good actors like Busey don't work out, probably due to the screenplay or maybe the awkward editing. The strangest thing is that the movie feels like a mid 90's B movie, yet is made in 06. I am not sure as to why, but then again, this often seems to happen with sequels for some reason. The music, the look, and the whole overall feel reminds me of movies you saw 10 years ago on Cinemax late at night. The strangest thing of all is that I am also expecting Ja Rule to come in at some point...often it reminds me of more current movies with rappers as actors.<br /><br />The most irritating thing is love interest girl who's character seems like a total rip off of the Lois Lane character on Smallville which is also quite annoying. And lets not forget the fakest sounding ""southern accents"" I have heard since Walk the Line. I realize this is common place in movies, but no accent at all would work better than attempting to sound like you are from that universal hick place on TV where anyone from any southern state (or KY and WV) sound exactly the same. Sure, people in desert towns in AZ sound just like people in Southeastern states 2000+ miles away. That was wearing thin 10 years ago in the B movies where technique came from. Why do writers / directors make such decisions? <br /><br />Bottom line: I would truly not recommend this if you are a fan of Road House or if you like good movies. Also, if you have not seen it yet, don't spoil it by seeing this version first. The original Road House was one of those accidental classics that people love and watch over and over. It was an unexpected success like American Graffiti, Dazed and Confused, and more recently Office Space, Fast and Furious (only the first one!), and Napolean Dynamite. Why did they spoil it!!!???<br /><br />They should have never made a sequel to Road House other than a high budget version with the right actors / director. Sure, you can never top the original (ex: Bad News Bears, The Longest Yard, etc.), but at least if you can do it right it will be presentable as is the case with the examples I mentioned. But to make a low budget, off-network, self production of Road House is criminal.",negative
"This independent, B&W, DV feature consistently shocks, amazes and amuses with it's ability to create the most insane situations and then find humor and interest in them. It's all hilarious and ridiculous stuff, yet as absurd as much of the film should be, there is a heart and a reality here that keeps the film grounded, keeps the entire piece from drifting into complete craziness and therein lies the real message here. This film is about how we all survive in a world gone mad. That seems to be the heart of the film. For as insane and off the wall as things get, Leon, the 30 yr. old paperboy-protagonist, always tries to keep it together. He's like a child forever trying to catch the balloon that is floating away so that everything will work out for the best, so that everyone can have what they want.<br /><br />The acting in the film could have went far over the top but the exceptional cast really keeps the piece cohesive. Van Meter is perhaps the best of the bunch here with a performance that shines through her absurd diseased tics. Just as the characters in the film do, we overlook her sudden outbursts to see the real person underneath. <br /><br />Majkowski is a true genius here. He takes the utmost ridiculous plot twists and keeps them real. It is his script and his cast that help keep the whole thing afloat. It's a true testament to the skill of Majkowski and all involved that this film, with it's grating plot and characters, never once works our nerves. Majkowski has taken a film that could have been abrasive and repugnant, and somehow given it heart and humor. This is a unique film. Not to be missed. <br /><br />",positive
This movie was a fascinating look at creole culture and society that few African Americans are aware. My own two children are by products of a paternal grandmother whose father was a member of the gens de couleur libre and a black skin woman whose parents were ex-slaves. He married outside of and against his culture and was cut off from all of his family except for one sister who took pity on her brothers plight; raising 8 children during the great depression of 1929; providing the family with food whenever she could. Of course she clandestinely aided this family fearing for her own ex-communication. My daughter was fascinated by the movie. We have made it a part of our library.,positive
"I only voted excellent because this film took two snapshots of Americana: one in 1970, and one for every year afterward. <br /><br />Nothing's really changed.<br /><br />Joe is actually a jerk, a big stupid slob who's mad at everybody else in the world for his own idiocy. This ain't really a spoiler, but the key to the film is the big, corporate ""never does wrong"" guy making friends with this semi-troglodyte Joe, and he gets some kind of...validation from his bigotry and stupidity and sense of being wronged. <br /><br />Yet, few would argue, that the dealer boyfriend did deserve to die. And those kids shouldn't have ripped Joe and Compton off. And Joe and Compton were actually getting into the hash and the young skin until they got ripped off. A simple film in many ways, except that in 1970 New York City was par to a battle zone thanks to Nixon's care, and all of the money going to the war in Vietnam. As I write this (2/25/2007) there is a ""very long wait"" on Netflix for this film - which makes me happy because I think there are people out there who want to learn. This was a pretty good snapshot - not exact, a bit caricaturist - but actually pretty close to how it was back then. And the scary thing is - things haven't changed that much. Sure, there's no more welfare, but that just means the wage-slavery has won out. <br /><br />Amazing how millionaires will complain about not making enough money, then complain that $5.15 an hour is too much to pay their people.",positive
"This movie is not schlock, despite the lo fi production and its link to Troma productions. A dark fable for adults. Exploitation is a theme of Sugar Cookies, and one wonders if the cast has not fallen prey to said theme. A weird movie with enticing visuals: shadows and contrast are prominent. Definitely worth a look, especially from fans of Warhol and stylish decadence. Through all the cruelty and wickedness, a moral, albeit twisted, can be gleamed.",positive
"well, i hated knocked up, i despised 40-year-old virgin, and this little gem is a worthless piece of trash movie. do yourself a favor, and skip it. i admit, i don't like the actors in this movie, and after my 18-year-old son showed me the cover of the DVD, i was like, ""i wouldn't like that movie,"" but at his insistence, i decided to give it a try, unfortunately. <br /><br />about two minutes into the movie i turned it off, i was so offended. it's just disgusting. any decent person would be offended by the filth in this movie. call me old fashioned, but shoving your pussy juice-covered hand into your friend's face so he will know you ""got some"" is over the line of decency, in my opinion. yeah, that's how this putrid little film starts, and i can only imagine it gets much worse from there. another real winner for Mr. Rudd. i bet he's proud as punch. imagine if you could only get worthless roles like he gets, would you stay in movies? despite the pay, i wouldn't. <br /><br />i should have known better; next time i will.",negative
"I was excited to discover this late sixties comedy staring some of my favorite people - Maggie Smith, a very young Bob Newhart and, of course, Peter Ustinov. My disappointment was thus compounded to discover the film doesn't work as either a comedy or a perfect heist film. Ustinov plays a small time crook just out of prison who sets his sites on a large American corporation based in London. Bluffing his way past dimwitted CEO Karl Malden and tech geek Newhart, Ustinov passes himself off as a computer expert and immediately plans the 'perfect heist' part of the film. To do this he needs to get passed a tamper proof security system that guards the corporation mainframe. And here is problem one. His perfect plan only works because everyone else in the film is remarkably trusting and stupid. His lame excuses are taken at face value and this must be the only computer center anywhere not to bother with video cameras. The second problem is the heist (fraud really) happens within the first 30 minutes of the film robbing the rest of the picture of much in way of dramatic tension. Maggie Smith is sadly miscast as Ustinov's ditsy next door neighbor/secretary who just can't keep a job. I love Maggie Smith but she just seems too together here, too composed, the part called for more of a wacky, physical comedian. Furthermore, Ustinov and Smith have no chemistry together, maybe it's the age difference, but the later romantic relationship, as devoid of actual romance as it is, still comes off a little creepy. Ustinov co-wrote the script, and it was thought well of at the time, but I found it unfunny, meandering and a sad waste of a great cast.",negative
"Gene Hackman gets himself busted out of prison by a nameless government agency who want him for an assassination. It's a given of course that Hackman has the proficient skills for the job.<br /><br />Nobody tells him anything though, he's given as the audience is given bits and pieces of information. That's supposed to be suspenseful, instead it's annoying and boring. <br /><br />Hackman goes through with the mission, but the getaway is messed up and the guy at the top of this mysterious entity orders everybody dead to cover it up. So everyone in the cast dies and at the end you don't really care.<br /><br />One of the other reviewers pointed out that the film was originally twice as long, almost three hours and got chopped down quite a bit. Maybe something really was lost in the translation, but I tend to think it was a mercy act on the audience.<br /><br />A very talented cast that had people like Richard Widmark, Candice Bergen, Mickey Rooney, Eli Wallach, and Edward Albert is so thoroughly wasted here it's a crime. <br /><br />And we never do find out just what federal agency was doing all this, the FBI, the CIA, the DEA or even the IRS.",negative
"Great acting, great movie. If you are thinking of building see this movie first. The dollar amounts may have changed but everything else is the same. The humor is true to life and emotions are those that anyone who has built has felt.",positive
"I really wanted to like The Pillow Book. Intriguing story, interesting character outlines, Ewan Macgregor in the utterly glorious altogether. Unfortunately, I hated every minute of it. Greenaway got so enamoured with presenting the movie uniquely, and not to the film's benefit. I won't even get into Vivian Wu's abysmal acting.<br /><br />You get distracted from the story with 4 billion teeny windows and calligraphy that rolls on the bottom of the screen displaying the lyrics of the music that's playing. It seems he lost sight of presenting the actual story and developing the plot, and got entangled with foo-foo embellishments that have nothing to do with anything. It's a bit like presenting a John Singer Sargeant portrait in a chintzy Hallmark frame that says ""GRANDMA LOVES ME!"" in big sparkly letters.<br /><br />This movie seems to be a casualty of the director auteur's ego instead of what it could have been - disturbingly and horrifyingly beautiful. In another director's hands (Jeunet? Coppola?), it could have been a masterpiece. In Greenaway's hands, it's best relegated to fine arts classes that also take themselves too seriously.",negative
"Wow, what an overrated movie this turned out to be! It was supposed to be ""an extremely suspenseful tale of a crazed killer holding a woman hostage and in terror in her home."" Well, I doubt it terrorized audiences in the early '50s and I know it would put today's audiences asleep.<br /><br />""Sends shivers down the spine,"" proclaims the New York Times. No, the only shivers I get is that anyone is left on the planet who believes anything the N.Y. Times prints about anything.<br /><br />Well, it was about a deranged man who held a woman hostage for a short time in her house but the man. ""Howard Wilton"" (Robert Ryan) was actually harmless and friendly. In fact, this was one of the nicest roles Ryan ever played! Yes, ""Wilton"" was nuts but he never harmed the woman and only wanted a friend to trust.<br /><br />The film even turned boring after awhile with very little going on except a lot of yakking. <br /><br />Beware, my reader.....this sucks.",negative
The old man mouse in this cartoon would have you believe that all men are created equally EVIL............so if we have to kill men in order to stop Hitler..........we are just as bad as Hitler was killing the Jews........ Well.....I don't buy it Mr. Mouse............but I guess it paints a pretty picture and makes a cute cartoon.......but it wasn't the reality then and it ain't reality now.,negative
